"","P_CODE","REEF","SITE_NO","TRANSECT_NO","LATITUDE","LONGITUDE","REPORT_YEAR","DATE","fYEAR","fDEPTH","REEF_ZONE","fGROUP","GROUP_DESC","COUNT","TOTAL","PERC_COVER","ZONE_DEPTH","tier4","tier5"
"1","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",544,2650,0.205283018867925,"_.9",1819,10614
"2","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",656,2550,0.257254901960784,"_.9",1819,10614
"3","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1631,5300,0.307735849056604,"_.9",1819,10614
"4","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",734,2850,0.257543859649123,"_.9",1819,10614
"5","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",222,2100,0.105714285714286,"_.9",1819,10614
"6","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",388,2450,0.158367346938776,"_.9",1819,10614
"7","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",525,2550,0.205882352941176,"_.9",1819,10614
"8","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1398,5350,0.261308411214953,"_.9",1819,10614
"9","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",414,2850,0.145263157894737,"_.9",1819,10614
"10","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",698,5050,0.138217821782178,"_.9",1819,10614
"11","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",605,3355,0.180327868852459,"_.9",1819,10614
"12","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",554,2220,0.24954954954955,"_.7",1819,10614
"13","1","Agincourt Reef No.1 Site 1","201","1",-16.0383833333333,145.868766666667,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",900,3550,0.253521126760563,"_.9",1819,10614
"14","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",415,2600,0.159615384615385,"_.9",1819,10614
"15","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",557,2700,0.206296296296296,"_.9",1819,10614
"16","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1733,5250,0.330095238095238,"_.9",1819,10614
"17","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",842,2700,0.311851851851852,"_.9",1819,10614
"18","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",302,2300,0.131304347826087,"_.9",1819,10614
"19","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",421,2900,0.145172413793103,"_.9",1819,10614
"20","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",366,2750,0.133090909090909,"_.9",1819,10614
"21","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1132,5450,0.207706422018349,"_.9",1819,10614
"22","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",358,3150,0.113650793650794,"_.9",1819,10614
"23","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",592,4850,0.122061855670103,"_.9",1819,10614
"24","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",726,3450,0.210434782608696,"_.9",1819,10614
"25","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",552,1755,0.314529914529915,"_.7",1819,10614
"26","1","Agincourt Reef No.1 Site 1","201","2",-16.0383833333333,145.868766666667,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",689,3049,0.225975729747458,"_.9",1819,10614
"27","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",698,2450,0.284897959183673,"_.9",1819,10614
"28","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",606,2500,0.2424,"_.9",1819,10614
"29","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1713,5150,0.332621359223301,"_.9",1819,10614
"30","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",659,2750,0.239636363636364,"_.9",1819,10614
